127.0.0.1, 2015-05-07 20:41:22, GET, /admin/static/_2.10.4/codemirror/mode/htmlmixed/htmlmixed.js, HTTP/1.1, 200, 0.001542
127.0.0.1, 2015-05-07 20:41:22, GET, /admin/static/_2.10.4/codemirror/addon/hint/show-hint.css, HTTP/1.1, 200, 0.001406
127.0.0.1, 2015-05-07 20:41:22, GET, /admin/static/_2.10.4/codemirror/addon/hint/python-hint.js, HTTP/1.1, 200, 0.003113
127.0.0.1, 2015-05-07 20:41:22, GET, /admin/static/_2.10.4/codemirror/addon/search/search.js, HTTP/1.1, 200, 0.000391
127.0.0.1, 2015-05-07 20:41:22, GET, /admin/static/_2.10.4/codemirror/addon/search/searchcursor.js, HTTP/1.1, 200, 0.000551
127.0.0.1, 2015-05-07 20:41:22, GET, /admin/static/_2.10.4/codemirror/addon/selection/active-line.js, HTTP/1.1, 200, 0.002516
127.0.0.1, 2015-05-07 20:41:22, GET, /admin/static/_2.10.4/codemirror/addon/dialog/dialog.css, HTTP/1.1, 200, 0.001388
127.0.0.1, 2015-05-07 20:41:22, GET, /admin/static/_2.10.4/codemirror/addon/edit/trailingspace.js, HTTP/1.1, 200, 0.001270
127.0.0.1, 2015-05-07 20:41:22, GET, /admin/static/_2.10.4/codemirror/addon/dialog/dialog.js, HTTP/1.1, 200, 0.004081
127.0.0.1, 2015-05-07 20:41:22, GET, /admin/static/_2.10.4/codemirror/addon/display/fullscreen.js, HTTP/1.1, 200, 0.002513
127.0.0.1, 2015-05-07 20:41:22, GET, /admin/static/_2.10.4/codemirror/addon/display/fullscreen.css, HTTP/1.1, 200, 0.003641
127.0.0.1, 2015-05-07 20:41:22, GET, /admin/static/_2.10.4/codemirror/addon/fold/brace-fold.js, HTTP/1.1, 200, 0.000530
127.0.0.1, 2015-05-07 20:41:22, GET, /admin/static/_2.10.4/codemirror/addon/fold/foldcode.js, HTTP/1.1, 200, 0.000541
127.0.0.1, 2015-05-07 20:41:22, GET, /admin/static/_2.10.4/codemirror/addon/fold/foldgutter.js, HTTP/1.1, 200, 0.000750
127.0.0.1, 2015-05-07 20:41:22, GET, /admin/static/_2.10.4/codemirror/addon/fold/xml-fold.js, HTTP/1.1, 200, 0.000418
127.0.0.1, 2015-05-07 20:41:22, GET, /admin/static/_2.10.4/codemirror/addon/fold/comment-fold.js, HTTP/1.1, 200, 0.000525
